Word,Possible IPA from CMU,Possible IPA from Cambridge
assiduously,əsɪdwəsli,əsɪdʒuəsli
associate,əsoʊsiət,əsoʊʃieɪt əsoʊʃieɪt si əsoʊʃieɪt si
associated,əsoʊsieɪtəd,əsoʊsieɪtɪd
assuredly,əʃʊɹədli,əʃʊɹɪdli əʃʊɹɪdli əʃʊəɹɪdli
asteroid,æstɝɔɪd æstɚɔɪd,æstəɹɔɪd æstəɹɔɪd
astrakhan,æstɹəkɑn æstɹəkɒn,æstɹəkæn
astronomically,æstɹənɑmɪkli æstɹənɒmɪkli,æstɹənɑmɪkəli æstɹənɑmɪkəli
astrophysicist,æstɹoʊfɪsɪsɪst,æstɹoʊfɪzɪsɪst
asymmetrical,eɪsəmɛtɹɪkəl,eɪsɪmɛtɹɪkəl eɪsɪmɛtɹɪkəl
atheism,əθaɪsəm,eɪθiɪzəm eɪθiɪzəm
atheist,eɪθiəst,eɪθiɪst eɪθiɪst
athletically,æθlɛtɪkli,æθlɛtɪkəli æθlɛtɪkəli
athleticism,æθlɛtɪsɪzm,æθlɛtəsɪzəm
attempted,ətɛmptəd,ətɛmptɪd
attentions,ətɛnʃənz,ətɛnʃən
attire,ətaɪɝ ətaɪɚ,ətaɪɹ ətɑɪəɹ
attitudinal,ætətudənəl,ætɪtudənəl
attribute,ətɹɪbjut,ætɹɪbjut ætɹəbjut
attribution,ætɹɪbjuʃən,ætɹəbjuʃən ætɹəbjuʃən
audiophile,ɔdioʊfil,ɑdioʊfaɪl
auditor,ɔdɪtɝ ɔdɪtɚ,ɑdətɚ ɔdɪtəɹ ɑdɪṱɚ
auditorium,ɔdətɔɹiəm,ɑdətɔɹiəm ɑdətɔɹiəm ɔdɪtɔɹiəm toʊɹ
auger,ɔɡɝ ɔɡɚ,ɑɡɚ
aught,ɔt,ɑt
augmented,ɑɡmɛntəd ɒɡmɛntəd,ɑɡmɛntɪd
augur,ɔɡɝ ɔɡɚ,ɑɡɚ
august,ɑɡəst ɒɡəst,ɑɡʌst ɔɡʌst
aureole,ɑɹioʊl ɒɹioʊl,ɔɹioʊl
aurora,ɝɔɹə ɚɔɹə,ɔɹɔɹə
auroral,ɝɔɹəl ɚɔɹəl,ɔɹɔɹəl
auspices,ɔspɪsɪz,ɔspəsəz siz
austere,ɔstɪɹ,ɑstɪɹ ɑstɪɹ ɑstɪɹ ɔstɪəɹ ɔstɪəɹ
austerely,ɔstɪɹli,ɑstɪɹli ɑstɪɹli ɑstɪɹli
authentic,əθɛntɪk,ɑθɛntɪk ɔθɛntɪk
authentically,ɔθɛntɪkli,ɑθɛntɪkəli ɑθɛntɪkəli
authenticate,ɔθɛntəkeɪt,ɑθɛntəkeɪt ɑθɛnṱɪ ɑθɛnṱɪ
authentication,ɔθɛntəkeɪʃən,ɑθɛntəkeɪʃən
authenticity,ɔθəntɪsɪti,ɑθɛntɪsəti
author,ɔθɝ ɔθɚ,ɑθɚ ɑθɚ ɔθəɹ
authoritatively,əθɔɹəteɪtɪvli,əθɔɹətətɪvli əθɔɹətətɪvli
authorization,ɔθɝəzeɪʃən ɔθɚəzeɪʃən,ɑθɚəzeɪʃən
authorize,ɔθɝaɪz ɔθɚaɪz,ɑθɚaɪz ɔθəɹɑɪz
authorized,ɔθɝaɪzd ɔθɚaɪzd,ɑθɚaɪzd
authorship,ɔθɝʃɪp ɔθɚʃɪp,ɑθɚʃɪp ɔθəɹʃɪp
autistic,ɔtɪstɪk,ɑtɪstɪk
autobahn,ɔtoʊbɑn ɔtoʊbɒn,ɑtoʊbɑn
autobiographer,ɔtəbaɪɑɡɹəfɝ ɔtəbaɪɑɡɹəfɚ ɔtəbaɪɒɡɹəfɝ ɔtəbaɪɒɡɹəfɚ,ɑtəbaɪɑɡɹəfɚ
autobiographical,ɔtəbaɪəɡɹæfɪkəl,ɑtəbaɪəɡɹæfɪkəl ɔtəbɑɪəɡɹæfɪkəl ɑtə
autobiography,ɔtəbaɪɑɡɹəfi ɔtəbaɪɒɡɹəfi,ɑtəbaɪɑɡɹəfi ɑtəbaɪɑɡɹəfi ɔtəbɑɪɑɡɹəfi
autoclave,ɔtoʊkleɪv,ɑtoʊkleɪv
autocrat,ɔtəkɹæt,ɑtəkɹæt
autocratic,ɔtəkɹætɪk,ɑtəkɹætɪk
autoimmune,ɔtɔɪmjun,ɑtoʊɪmjun
automaker,ɔtoʊmeɪkɝ ɔtoʊmeɪkɚ,ɑtoʊmeɪkɚ ɔtoʊmeɪkəɹ ɑt
automaton,ɔtɑmətɑn ɔtɑmətɒn ɔtɒmətɑn ɔtɒmətɒn,ɑtɑmətən
autonomic,ɔtənɑmɪk ɔtənɒmɪk,ɑtənoʊmɪk ɑtənoʊmɪk ɑtənoʊmɪk
autonomous,ɔtɑnəməs ɔtɒnəməs,ɑtɑnəməs ɑtɑnəməs ɑtɑnəməs
autopilot,ɔtoʊpaɪlət,ɑtoʊpaɪlət
autumnal,ɔtʌmnəl,ɑtʌmnəl
auxiliary,ɑɡzɪljɝi ɑɡzɪljɚi ɒɡzɪljɝi ɒɡzɪljɚi,ɑɡzɪliɛɹi ɔɡzɪljəɹi
avarice,ævɝəs ævɚəs,ævɚɪs ævəɹəs
aver,eɪvɝ eɪvɚ,əvɝ
avidly,ævədli,ævɪdli
avocado,ævəkɑdoʊ ævəkɒdoʊ,ɑvəkɑdoʊ ɑvəkɑdoʊ ɑvəkɑdoʊ ævə
awed,ɔd,ɑd
awestruck,ɑstɹAH2k ɒstɹAH2k,ɑstɹʌk
awfulness,ɔfəlnəs,ɑfəlnəs
awkward,ɔkwɝd ɔkwɚd,ɑkwɚd ɑkwɚd ɑkwɚd ɑkwɚd ɑkwɚd ɔkwəɹd ɔkwəɹd ɔkwəɹd ɔkwəɹd
awkwardly,ɔkwɝdli ɔkwɚdli,ɑkwɚdli ɑkwɚdli ɑkwɚdli ɑkwɚdli ɑkwɚdli ɔkwəɹdli ɔkwəɹdli
awkwardness,ɔkwɝdnəs ɔkwɚdnəs,ɑkwɚdnəs ɑkwɚdnəs ɑkwɚdnəs ɑkwɚdnəs
awry,ɝaɪ ɚaɪ,əɹaɪ əɹaɪ əɹɑɪ
axes,æksɪz,æksiz æksiz
ay,eɪ,aɪ aɪ
azalea,əzeɪljə,əzeɪliə
baa,bieɪeɪ,bæ
baba,bʌbə,bæbə bæbə
backup,bækAH2p,bækʌp bækʌp bækʌp bækʌp bækʌp
backwater,bækwɔtɝ bækwɔtɚ,bækwɑtɚ bækwɑtɚ bækwɔtəɹ wɑtəɹ
bae,baɪ,beɪ
bagman,bæɡmən,bæɡmæn
bailiwick,beɪlɪwɪk,beɪliwɪk
balderdash,bɔldɝdæʃ bɔldɚdæʃ,bɑldɚdæʃ
ballade,bəlɑd bəlɒd,bælɑd bælɑd
ballcock,bɔlkɑk bɔlkɒk,bɑlkɑk
baller,bɔlɝ bɔlɚ,bɑlɚ bɑlɚ bɑlɚ
ballerina,bælɝinə bælɚinə,bæləɹinə bæləɹinə
ballplayer,bɔlpleɪɝ bɔlpleɪɚ,bɑlpleɪɚ bɑlpleɪɚ
balls,bɔlz,bɑlz bɑlz bɑlz
balsam,bɔlsəm,bɑlsəm bɑlsəm
banality,bənælɪti,bənɑləti
bandicoot,bændɪkut,bændikut
bandit,bændət,bændɪt bændɪt
bandwidth,bændwɪdθ,bændwɪtθ bændwɪtθ bændwɪtθ bændwɪtθ bændwɪtθ wɪdθ bændwɪtθ wɪdθ
banister,bænɪstɝ bænɪstɚ,bænəstɚ bænəstɚ bænəstəɹ
banyan,bænjən,bænjæn
barbarity,bɑɹbæɹəti bɒɹbæɹəti,bɑɹbɛɹəti
barbiturate,bɑɹbɪtʃɝət bɑɹbɪtʃɚət bɒɹbɪtʃɝət bɒɹbɪtʃɚət,bɑbɪtʃəɹət bɑɹbɪtʃəɹət
barometer,bɝɑmɪtɝ bɝɑmɪtɚ bɝɒmɪtɝ bɝɒmɪtɚ bɚɑmɪtɝ bɚɑmɪtɚ bɚɒmɪtɝ bɚɒmɪtɚ,bəɹɑmətɚ bəɹɑmətɚ bəɹɑmɪtəɹ
barometric,bæɹəmɛtɹɪk,bɛɹoʊmɛtɹɪk
baron,bæɹən,bɛɹən bɛɹən
baroness,bɛɹənɪs,bɛɹənɛs bɛɹənɛs
baronet,bɛɹənət,bɛɹənɛt
baroque,bɝoʊk bɚoʊk,bəɹoʊk bəɹoʊk bəɹoʊk ɹɑk ɹɔk
barrack,bæɹək,bɛɹək
barrage,bɝɑʒ bɝɒʒ bɚɑʒ bɚɒʒ,bəɹɑʒ bəɹɑʒ bəɹɑʒ ɹɑdʒ bəɹɑʒ ɹɑdʒ
barre,bɛɹi,bɑɹ bɑɹ
barrette,bɝɛt bɚɛt,bəɹɛt bəɹɛt bɑ
barrier,bæɹiɝ bæɹiɚ,bɛɹiɚ bɛɹiɚ bɛɹiɚ bæɹiəɹ
barrister,bæɹɪstɝ bæɹɪstɚ,bɛɹəstɚ
barrow,bæɹoʊ,bɛɹoʊ bɛɹoʊ bɛɹoʊ
bases,beɪsəz,beɪsiz
basically,beɪsɪkli,beɪsɪkəli
basis,beɪsəs,beɪsɪs beɪsɪs beɪsɪs beɪsɪs
basketball,bæskətbɔl,bæskətbɑl bæskətbɑl bæskɪtbɔl
basophilic,beɪsɔfɪlɪk,bæzəfɪlɪk
bastion,bæstʃən,bæstiən bæstiən
bathtub,bæθtəb,bæθtʌb bæθtʌb
batman,bætmæn,bætmən
bauble,bɔbəl,bɑbəl bɑbəl
bauxite,bɔksaɪt,bɑksaɪt
bawdy,bɔdi,bɑdi
beachfront,bitʃfɹɑnt bitʃfɹɒnt,bitʃfɹʌnt
beamer,bimɝ bimɚ,biɚ biɚ
bearded,bɪɹdəd,bɪɹdɪd bɪəɹdɪd
bearings,bɛɹɪŋz,bɛəɹɪŋz
beautifully,bjutəfli,bjutəfəli bjutəfəli
beautify,bjutɪfaɪ,bjutəfaɪ
beaux,boʊ,boʊz
bedbug,bɛdbəɡ,bɛdbʌɡ
behaviorally,biheɪvjɝəli biheɪvjɚəli,bɪheɪvjɚəli
beheld,bihɛld,bɪhɛld
behemoth,bəhiməθ,bɪhimɑθ mɑθ
beholder,bihoʊldɝ bihoʊldɚ,bɪhoʊldɚ
believable,bəlivəbəl,bɪlivəbəl bɪlivəbəl
belonging,bɪlɔŋɪŋ,bɪlɑŋɪŋ
beloved,bɪlʌvd,bɪlʌvɪd lʌvd
beluga,bɪluɡə,bəluɡə bəluɡə bəluɡə
bemusement,bɛmjusmənt,bɪmjuzmənt
beneficence,bənɛfəsəns,bənɛfɪsəns
beneficent,bɛnəfɪʃənt,bənɛfɪsənt
benignly,bənaɪnli,bɪnaɪnli
benne,bɛn,bɛni
bereaved,bɝivd bɚivd,bɪɹivd bɪɹivd
bereavement,bɝivmənt bɚivmənt,bɪɹivmənt
bereft,bɝɛft bɚɛft,bɪɹɛft bɪɹɛft
beret,bɛɹət,bəɹeɪ bəɹeɪ
berserk,bɝsɝk bɝsɚk bɚsɝk bɚsɚk,bɚzɝk bəɹzɜɹk sɜɹk
beryllium,bɝɪliəm bɚɪliəm,bəɹɪliəm bəɹɪliəm
beseech,bisitʃ,bɪsitʃ
beseeching,bisitʃɪŋ,bɪsitʃɪŋ
bestiality,bɛstʃælɪti,bɛstiæləti bɛstiæləti
betel,bɛtəl,bitəl
betwixt,bitwɪkst,bɪtwɪkst
bewildering,bɪwɪldɝɪŋ bɪwɪldɚɪŋ,bɪwɪldəɹɪŋ bɪwɪldəɹɪŋ
beyond,bɪɑnd bɪɒnd,bijɑnd bijɑnd biɑnd biɑnd biɑnd biɑnd
biannual,baɪænuəl,baɪænjuəl bɑɪænjuəl
biblical,bɪbləkəl,bɪblɪkəl bɪblɪkəl bɪblɪkəl
bicycle,baɪsɪkəl,baɪsəkəl bɑɪsɪkəl
bicycling,baɪsɪkəlɪŋ,baɪsɪklɪŋ
bier,biɹ,bɪɹ
bifurcate,bɪfɝkeɪt bɪfɚkeɪt,baɪfɚkeɪt
bifurcation,bɪfɝkeɪʃən bɪfɚkeɪʃən,baɪfɚkeɪʃən baɪfɚkeɪʃən
bighearted,bɪɡhɑɹtɪd bɪɡhɒɹtɪd,bɪɡhɑɹtəd
bikini,bɪkini,bəkini bəkini
binary,baɪnəɹi,baɪnɛɹi baɪnɛɹi bɑɪnəɹi bɑɪnəɹi
binocular,bənɑkjəlɝ bənɑkjəlɚ bənɒkjəlɝ bənɒkjəlɚ,bɪnɑkjəlɚ
biodegradable,baɪoʊdəɡɹeɪdəbəl,baɪoʊdɪɡɹeɪdəbəl bɑɪoʊdɪɡɹeɪdəbəl
biodiversity,baɪoʊdaɪvɝsəti baɪoʊdaɪvɚsəti,baɪoʊdɪvɝsəti
biographical,baɪəɡɹæfɪkəl,baɪoʊɡɹæfɪkəl
biologically,baɪəlɑdʒɪkli baɪəlɒdʒɪkli,baɪəlɑdʒɪkəli baɪəlɑdʒɪkəli
biomass,baɪəmæs,baɪoʊmæs baɪoʊmæs bɑɪoʊmæs bɑɪoʊmæs
biometric,baɪəmɛtɹək,baɪoʊmɛtɹɪk
biophysics,baɪoʊfɪsɪks,baɪoʊfɪzɪks
bipartisan,baɪpɑɹtɪzən baɪpɒɹtɪzən,baɪpɑɹtəzən bɑɪpɑɹtəzən sən
birdsong,bɝdsɔŋ bɚdsɔŋ,bɝdsɑŋ
birthrate,bɝθɹeɪt bɚθɹeɪt,bɜɹθɹeɪt
biscuit,bɪskət,bɪskɪt bɪskɪt bɪskɪt bɪskɪt bɪskɪt bɪskɪt
bistro,bɪstɹoʊ,bistɹoʊ
bitumen,bɪtumən,baɪtumən
bivouac,bɪvwæk,bɪvuæk bɪvuæk
blackball,blækbɔl,blækbɑl
blanket,blæŋkət,blæŋkɪt blæŋkɪt
blasted,blæstəd,blæsstɪd blæsstɪd blæsstɪd
blessed,blɛst,blɛsɪd blɛsɪd
blessedly,blɛsədli,blɛsɪdli
blithely,blaɪθli,blaɪðli
blockbuster,blɑkbAH2stɝ blɑkbAH2stɚ blɒkbAH2stɝ blɒkbAH2stɚ,blɑkbʌstɚ blɑkbʌstəɹ
bloods,blʌdz,blʌd
bloodsucker,blʌdsAH2kɝ blʌdsAH2kɚ,blʌdsʌkɚ
blotch,blɑttʃ blɒttʃ,blɑtʃ blɑtʃ
blotchy,blɑttʃi blɒttʃi,blɑtʃi
blowgun,bloʊɡAH2n,bloʊɡʌn
blowup,bloʊAH2p,bloʊʌp
bluebonnet,blubɑnət blubɒnət,blubɑnɪt
bluebottle,blubɔtəl,blubɑtəl
blurry,blɝi blɚi,blɜ˞i blɜ˞i blɜ˞i
boatswain,boʊtsweɪn,boʊsən
bobbin,bɑbən bɒbən,bɑbɪn bɑbɪn
bobble,bɔbəl,bɑbəl bɑbəl bɑbəl
bocce,boʊtʃi,bɑtʃi
bogie,bʊɡi,boʊɡi boʊɡi boʊɡi boʊɡi
bolero,boʊlɛɹoʊ,bəlɛɹoʊ bəlɛɹoʊ
bombardier,bɑmbɝdɪɹ bɑmbɚdɪɹ bɒmbɝdɪɹ bɒmbɚdɪɹ,bɑmbədɪɹ bɑmbədɪɹ
bonded,bɑndəd bɒndəd,bɑndɪd bɑndɪd bɑndɪd bɑndɪd bɑndɪd bɑndɪd
bonfire,bɑnfaɪɝ bɑnfaɪɚ bɒnfaɪɝ bɒnfaɪɚ,bɑnfaɪɹ bɑnfɑɪəɹ
bonnet,bɑnət bɒnət,bɑnɪt bɑnɪt bɑnɪt
boogie,buɡi,bʊɡi
boomerang,bumɝæŋ bumɚæŋ,buməɹæŋ buməɹæŋ
borrowings,bɑɹoʊɪŋz bɒɹoʊɪŋz,bɑɹoʊ
bossy,bɔsi,bɑsi bɑsi
botanically,bətænəkəli,bətænɪkəli
botulism,bɑtʃulɪzəm bɒtʃulɪzəm,bɑtʃəlɪzəm
boudin,budɪn,budæn
boudoir,budɔɪɹ,budwɑɹ
bougainvillea,buɡeɪnvɪliə,buɡənvɪliə
bouillon,buwɪlən,bʊljɑn
boundary,baʊndɝi baʊndɚi,baʊndəɹi baʊndəɹi baʊndəɹi baʊndəɹi baʊndəɹi bɑʊndɹi dəɹi
bounds,baʊndz,bɑʊnz
bountiful,baʊntɪfəl,tɪ tɪ bɑʊntəfəl
bouquet,bukeɪ,boʊkeɪ boʊkeɪ boʊkeɪ bu boʊkeɪ bu
bourgeoisie,bʊɹʒwɑzi bʊɹʒwɒzi,bʊəɹʒwɑzi
bowels,baʊəlz,bɑʊəlz bɑʊlz bɑʊəlz bɑʊlz
bowline,boʊlaɪn,boʊlɪn boʊlɪn
bowser,boʊzɝ boʊzɚ,baʊzɚ baʊzɚ baʊzɚ
braces,bɹeɪsəz,bɹeɪsɪz bɹeɪsɪz
braggadocio,bɹæɡədoʊʃioʊ,bɹæɡədoʊtʃioʊ
brainless,bɹeɪnlɪs,bɹeɪnləs bɹeɪnləs
branches,bɹæntʃəz,bɹæntʃɪz
brawny,bɹɔni,bɹɑni
brazier,bɹeɪziɝ bɹeɪziɚ,bɹeɪʒɚ bɹeɪʒɚ
breakup,bɹeɪkAH2p,bɹeɪkʌp bɹeɪkʌp
breakwater,bɹeɪkwɔtɝ bɹeɪkwɔtɚ,bɹeɪkwɑtɚ
brewery,bɹuɝi bɹuɚi,bɹʊɹi bɹuəɹi
brigade,bɹəɡeɪd,bɹɪɡeɪd bɹɪɡeɪd bɹɪɡeɪd
brio,bɹaɪoʊ,bɹioʊ
brioche,bɹioʊʃ,bɹiɑʃ
brisket,bɹɪskət,bɹɪskɪt
broadcaster,bɹɔdkæstɝ bɹɔdkæstɚ,bɹɑdkæstɚ bɹɔdkæstəɹ bɹɔdkæstəɹ bɹɔdkæstəɹ
broadcasting,bɹɔdkæstɪŋ,bɹɑdkæstɪŋ
broadside,bɹɔdsaɪd,bɹɑdsaɪd bɹɑdsaɪd bɹɔdsɑɪd
brokerage,bɹoʊkɝɪdʒ bɹoʊkɚɪdʒ,bɹoʊkəɹɪdʒ bɹoʊkəɹɪdʒ
bronchial,bɹɑntʃiəl bɹɒntʃiəl,bɹɑŋkiəl
brontosaurus,bɹɔntəsɔɹəs,bɹɑntəsɔɹəs
brougham,bɹuɡəm,bɹum
brutalize,bɹutəlaɪz,təl bɹutəlɑɪz
buccal,bjukəl,bʌkəl
buccaneer,bAH2kəniɹ,bʌkənɪɹ
buckets,bʌkəts,bʌkɪts
buckler,bʌkəlɝ bʌkəlɚ,bʌklɚ
buffet,bʌfət,bəfeɪ bəfeɪ bəfeɪ bu
buildup,bɪldAH2p,bɪldʌp bɪldʌp
bulimia,bjulɪmiə,bulimiə
bulimic,bjulɪmɪk,bulimɪk
bullet,bʊlət,bʊlɪt bʊlɪt bʊlɪt
bulletproof,bʊlətpɹuf,bʊlɪtpɹuf bʊlɪtpɹuf bʊlɪtpɹuf
bullfrog,bʊlfɹɔɡ,bʊlfɹɑɡ
bullseye,bulzaɪ,bʊlzaɪ bʊlzaɪ
bumbling,bʌmbəlɪŋ,bʌmblɪŋ bʌmblɪŋ
bundling,bʌndəlɪŋ,bʌndlɪŋ
bungling,bʌŋɡəlɪŋ,bʌŋɡlɪŋ
burrito,bɝitoʊ bɚitoʊ,bəɹitoʊ bəɹitoʊ
businessman,bɪznəsmæn,bɪznɪsmən bɪznəsmən nəz mæn bɪznɪsmən bɪznɪsmən
bustling,bʌsəlɪŋ,bʌslɪŋ
buttercup,bʌtɝkAH2p bʌtɚkAH2p,bʌtɚkʌp bʌtəɹkʌp
bygone,baɪɡɔn,baɪɡɑn bɑɪɡɔn
bylaw,baɪlɔ,baɪlɑ baɪlɑ lɑ lɑ
byproduct,baɪpɹɑdəkt baɪpɹɒdəkt,bɑɪpɹɑdəkt ʌkt
byzantine,bɪzəntaɪn,bɪzəntin
cabbage,kæbədʒ,kæbɪdʒ kæbɪdʒ kæbɪdʒ
cabdriver,kæbdɹaɪvɝ kæbdɹaɪvɚ,kæbdɹɑɪvəɹ
cabin,kæbən,kæbɪn kæbɪn kæbɪn kæbɪn kæbɪn kæbɪn
cabriolet,kæbɹioʊleɪ,kæbɹiəleɪ
cacciatore,kɑtʃətɔɹi kɒtʃətɔɹi,kætʃətɔɹi
cacophony,kækɑfəni kækɒfəni,kəkɑfəni
cadre,kædɹi,kɑdɹeɪ kɑdɹeɪ kɑdɹi kæd ɹeɪ
caked,keɪkt,keɪkd
calabrese,kɑlɑbɹeɪzi kɑlɒbɹeɪzi kɒlɑbɹeɪzi kɒlɒbɹeɪzi,kæləbɹeɪzeɪ
calamari,kɑlɑmɑɹi kɑlɑmɒɹi kɑlɒmɑɹi kɑlɒmɒɹi kɒlɑmɑɹi kɒlɑmɒɹi kɒlɒmɑɹi kɒlɒmɒɹi,kæləmɑɹi
calculated,kælkjəleɪtəd,kælkjəleɪtɪd kælkjəleɪtɪd
calendula,kəlɛdʒələ,kəlɛndʒələ
caliph,kæləf,keɪlɪf keɪləf kæl
caller,kɔlɝ kɔlɚ,kɑlɚ kɑlɚ kɔləɹ
caloric,kælɔɹɪk,kəlɔɹɪk kəlɔɹɪk
calorie,kælɔɹi,kælɚi kælɚi kæləɹi kæləɹi
camaraderie,kɑmɝɑdɝi kɑmɝɑdɚi kɑmɝɒdɝi kɑmɝɒdɚi kɑmɚɑdɝi kɑmɚɑdɚi kɑmɚɒdɝi kɑmɚɒdɚi kɒmɝɑdɝi kɒmɝɑdɚi kɒmɝɒdɝi kɒmɝɒdɚi kɒmɚɑdɝi kɒmɚɑdɚi kɒmɚɒdɝi kɒmɚɒdɚi,kæməɹɑdɚi kɑməɹɑdəɹi
camera,kæmɝə kæmɚə,kæmɹə kæmɹə
cameraman,kæmɝəmən kæmɚəmən,kæmɹəmæn kæmɹəmæn
campfire,kæmpfaɪɝ kæmpfaɪɚ,kæmpfaɪɹ kæmpfɑɪəɹ
cancerous,kænsɝəs kænsɚəs,kænsəɹəs
candid,kændəd,kændɪd kændɪd
candidate,kændədeɪt,kændɪdət kændɪdət kændɪdət kændɪdeɪt dɪdət
canker,kæŋkɝ kæŋkɚ,kɚ kɚ kɚ
cannonball,kænənbɔl,kænənbɑl kænənbɑl kænənbɑl
canonical,kənɑnəkəl kənɒnəkəl,kənɑnɪkəl kənɑnɪkəl kənɑnɪkəl
cantata,kæntɑtə kæntɒtə,kəntɑtə
canton,kæntən,kæntɑn
cantor,kæntɝ kæntɚ,kæntɔɹ kæntɔɹ kæntəɹ
capitalization,kæpɪtəlɪzeɪʃən,kæpətələzeɪʃən kæpətələzeɪʃən ṱəl ṱəl
capitulate,kəpɪtʃuleɪt,kəpɪtʃəleɪt kəpɪtʃəleɪt kəpɪtʃəleɪt
cappelletti,kɑpɛlɛti kɒpɛlɛti,kæpəlɛti
cappuccino,kæputʃinoʊ,kæpətʃinoʊ kæpətʃinoʊ
capsaicin,kæpseɪsən,kæpseɪɪsɪn
captivate,kæptɪveɪt,kæptəveɪt kæptəveɪt
captivating,kæptɪveɪtɪŋ,kæptəveɪtɪŋ
caput,kəpʊt,keɪpət
caramel,kɛɹəməl,kɑɹməl kɑɹməl kɑɹməl
caramelize,kɛɹəməlaɪz,kɑɹməlaɪz kɑɹməlaɪz
caraway,kæɹəweɪ,kɛɹəweɪ
carbine,kɑɹbaɪn kɒɹbaɪn,kɑɹbin
carbonic,kɑɹbɔnɪk kɒɹbɔnɪk,kɑɹbɑnɪk
carburetion,kɑɹbjɝiʃən kɑɹbjɚiʃən kɒɹbjɝiʃən kɒɹbjɚiʃən,kɑɹbəɹeɪʃən
carburetor,kɑɹbɝeɪtɝ kɑɹbɝeɪtɚ kɑɹbɚeɪtɝ kɑɹbɚeɪtɚ kɒɹbɝeɪtɝ kɒɹbɝeɪtɚ kɒɹbɚeɪtɝ kɒɹbɚeɪtɚ,kɑɹbəɹɛtɚ kɑɹbəɹeɪtəɹ bjə
careen,kɝin kɚin,kəɹin kəɹin
career,kɝɪɹ kɚɪɹ,kəɹɪɹ kəɹɪəɹ
careers,kɝɪɹz kɚɪɹz,kəɹɪɹz
careless,kɛɹlɛs,kɛɹləs kɛɹləs kɛəɹləs
carelessly,kɛɹlɛsli,kɛɹləsli kɛɹləsli
carelessness,kɛɹlɛsnəs,kɛɹləsnəs
caress,kɝɛs kɚɛs,kəɹɛs kəɹɛs
caressing,kɝɛsɪŋ kɚɛsɪŋ,kəɹɛsɪŋ
caricature,kɛɹɪkətʃɝ kɛɹɪkətʃɚ,kɛɹəkətʃʊɹ kæɹɪkətʃʊəɹ tʃəɹ
caricaturist,kɛɹəkətʃɝɪst kɛɹəkətʃɚɪst,kɛɹəkətʃʊɹɪst
carillon,kɛɹəlɑn kɛɹəlɒn,kæɹəlɑn
carnivore,kɑɹnɪvɔɹ kɒɹnɪvɔɹ,kɑɹnəvɔɹ kɑɹnəvɔɹ voʊɹ
carotid,kɝɑtɪd kɝɒtɪd kɚɑtɪd kɚɒtɪd,kəɹɑtɪd
carouse,kɝaʊz kɚaʊz,kəɹaʊz kəɹɑʊz
carpenter,kɑɹpəntɝ kɑɹpəntɚ kɒɹpəntɝ kɒɹpəntɚ,kɑɹpɪntɚ kɑɹpəntəɹ
carpeting,kɑɹpətɪŋ kɒɹpətɪŋ,kɑpətɪŋ kɑpətɪŋ
carrel,kæɹɛl,kɛɹəl
carrier,kæɹiɝ kæɹiɚ,kɛɹiɚ kɛɹiɚ kɛɹiɚ kɛɹiɚ kɛɹiɚ kɛɹiɚ kɛɹiɚ kæɹiəɹ kæɹiəɹ
cartilage,kɑɹtələdʒ kɒɹtələdʒ,kɑɹtəlɪdʒ kɑɹtəlɪdʒ
cartoonist,kɑɹtunəst kɒɹtunəst,kɑɹtunɪst
cartridge,kɑɹtɹədʒ kɒɹtɹədʒ,kɑɹtɹɪdʒ kɑɹtɹɪdʒ kɑɹtɹɪdʒ kɑɹtɹɪdʒ
casket,kæskət,kæskɪt kæskɪt kæskɪt
casserole,kæsɝoʊl kæsɚoʊl,kæsəɹoʊl kæsəɹoʊl
casual,kæʒəwəl,kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl kæʒuəl
casually,kæʒəwəli,kæʒuəli kæʒuəli kæʒuəli kæʒuəli
casuals,kæʒəwəlz,kæʒuəl
casualty,kæʒəwəlti,kæʒuəlti kæʒuəlti kæʒuəlti kæʒuəlti kæʒəlti
cataclysm,kætəklɪsəm,kætəklɪzəm kætəklɪzəm
catacomb,kætəkoʊm,kætəkum
catalogue,kætəlɔɡ,kætəlɑɡ kætəlɑɡ kætəlɑɡ
catamaran,kətæmɝən kətæmɚən,kætəməɹæn
catapult,kætəpAH2lt,kætəpʌlt kætəpʌlt kætəpʌlt pʊlt kætəpʌlt pʊlt
cataract,kætɝækt kætɚækt,kætəɹækt kætəɹækt kætəɹækt kætəɹækt
catcher,kætʃɝ kætʃɚ,kɛtʃɚ kætʃəɹ kɛtʃ
categorical,kætəɡɑɹɪkəl kætəɡɒɹɪkəl,kætəɡɔɹɪkəl kætəɡɔɹɪkəl kætɪɡɔɹɪkəl ɡɑɹ
categorically,kætəɡɑɹɪkli kætəɡɒɹɪkli,kætəɡɔɹɪkəli
categorization,kætəɡɝɪzeɪʃən kætəɡɚɪzeɪʃən,kætəɡəɹəzeɪʃən
categorize,kætəɡɝaɪz kætəɡɚaɪz,kætəɡəɹaɪz
category,kætəɡɔɹi,kætəɡɹi kætɪɡɔɹi ɡoʊɹi
caterpillar,kætəpɪlɝ kætəpɪlɚ,kætɚpɪlɚ kætəpɪləɹ kætəɹ
catharsis,kəθɑɹsəs kəθɒɹsəs,kəθɑɹsɪs kəθɑɹsɪs
catholic,kæθlɪk,kæθəlɪk
